Name,Code for scientific name and authority in lookup table,Plot number,National Forest or other area,Latitude (decimal degrees),Longitude (decimal degrees),Wilderness Area,Region,Year of tissue collection,Chromium (ppm dw),Copper (ppm dw),Managanese (ppm dw),Nitrogen (% dw),Phosphorous (ppm dw),Potassium (ppm dw),Sulfur (% dw),Elevation (ft),Air pollution score,Taxonomic authority,Common name,AQ Rating,codename,sci_name
Alectoria sarmentosa,alesar,1190172,Gifford Pinchot National Forest,46.53,-121.67,,6.0,1995.0,0.4,1.2,99.2,0.28,384.0,1479.0,0.046,3500.0,-0.239,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,citrus1572,,,,,,6.0,2000.0,0.96,15.98,20.96,2.7,1290.68,17487.6,,,,,,,,
Letharia vulpina,letvul,BobMar42,Flathead National Forest,47.936,-113.307,,14.0,2003.0,1.42,2.62,211.0,,285.0,2218.0,0.04,,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Lobaria oregana,lobore,TNF086B,Tongass N.F.,55.094,-130.646,Misty Fjords Wilderness,10.0,2005.0,0.28,2.202,75.887,,2206.6,8094.6,0.106,15.0,-1.178,(Tuck.) Muell. Arg.,Lungwort,most sensitive,lobore,Lobaria oregana
,alesarmth,,,,,,6.0,1998.0,1.2,1.68,94.06,,415.4,1519.0,0.046,,,,,,,
Platismatia glauca,plagla,2197166,Gifford Pinchot National Forest,46.7,-121.78,,6.0,1999.0,2.478,2.941,295.34,0.431,724.3,1601.1,0.061,4800.0,-0.585,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Letharia vulpina,letvul,1112184,Deschutes National Forest,44.61,-121.51,,6.0,1994.0,0.6,1.5,63.7,0.63,514.0,2129.0,0.059,3400.0,-0.423,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,peach1547,,,,,,6.0,2000.0,1.283,4.085,92.162,,1300.3,22792.0,,,,,,,,
,evepru,Hyslop1,Albany,44.635,-123.194,,6.0,1998.0,1.96,30.78,157.3,1.01,1656.0,4044.0,0.099,500.0,0.771,(L.) Ach.,Antler lichen,most tolerant,evepru,Evernia prunastri
,qc2.00,,,,,,6.0,1997.0,,,,1.97,,,,,,,,,,
Letharia vulpina,letvul,Odessa2,Fremont-Winema National Forests,42.411,-122.055,,6.0,2003.0,1.268,2.213,33.327,1.0,555.05,2107.2,0.08,4140.0,0.6,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,HJA219,Willamette National Forest,44.21,-122.206,,6.0,1999.0,1.22,4.86,156.82,0.379,850.92,2052.6,0.053,3700.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,1176164,Gifford Pinchot National Forest,46.19,-121.82,,6.0,1996.0,10.1,1.52,140.1,0.34,583.0,1906.0,0.032,2400.0,,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,letcol,1034200,Fremont-Winema National Forests,42.68,-121.29,,6.0,2010.0,0.438,1.664,89.033,0.844,585.64,2291.8,0.077,5000.0,-0.483,(Nutt.) J.W. Thomson,Wolf lichen,intermediate,letcol,Letharia columbiana
Platismatia glauca,plagla,1134168,Mt. Hood National Forest,45.15,-121.77,,6.0,2005.0,1.272,3.883,550.7,0.552,577.03,1879.3,0.074,3400.0,-0.949,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1196184A,Gifford Pinchot National Forest,46.68,-121.45,,6.0,1995.0,2.3,4.3,325.5,0.36,892.0,1747.0,0.056,3500.0,-0.72,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,1180396-N,Umatilla National Forest,46.175,-117.717,Wenaha-Tucannon Wilderness,6.0,2011.0,0.47,1.52,80.71,1.02,1016.8,2154.9,0.044,3384.0,0.592,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Hypogymnia inactiva,hypina,1160156,Gifford Pinchot National Forest,45.79,-121.97,,6.0,1996.0,,,,0.4,,,,2500.0,-0.025,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
,flacap,Skidmore71,George Washington and Jefferson National Forest,38.544,-79.141,,89.0,1995.0,,,,1.2,,,0.13,3078.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
,claste,,,,,,89.0,1993.0,1,2.2,20.2,,194.0,658.0,0.046,,,(Opiz) Brodo,Reindeer lichen,,,
Platismatia glauca,plagla,1174164,Gifford Pinchot National Forest,46.14,-121.82,,6.0,2005.0,,,,0.552,,,,2400.0,-0.115,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Lobaria oregana,lobore,1094148LG,Willamette National Forest,44.17,-122.14,,6.0,2004.0,0.918,3.946,53.67,2.28,1609.7,6888.0,0.085,1400.0,-0.654,(Tuck.) Muell. Arg.,Lungwort,most sensitive,lobore,Lobaria oregana
Alectoria sarmentosa,alesar,TNF040,Tongass N.F.,56.782,-132.934,,10.0,1989.0,0.3,0.67,60.0,,203.0,1057.0,0.036,,-1.416,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,1190168,Gifford Pinchot National Forest,46.53,-121.74,,6.0,2004.0,1.19,3.213,76.091,0.558,825.67,2117.1,0.06,2200.0,-0.206,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Hypogymnia inactiva,hypina,CRG81,Columbia River Gorge National Scenic Area,45.724,-121.79,,6.0,2009.0,1.242,5.588,75.757,1.147,1441.3,4435.6,0.077,90.0,0.666,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Platismatia glauca,plagla,1174176,Gifford Pinchot National Forest,46.14,-121.61,,6.0,2005.0,1.481,6.624,188.05,0.733,718.23,2105.7,0.069,3600.0,-0.268,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,isomyo,1172156,Gifford Pinchot National Forest,46.09,-121.97,,6.0,1996.0,4.94,8.84,409.3,1.1,1802.0,4345.0,0.151,1600.0,-0.392,,,,isomyo,Isothecium myosuroides
,letcol,1030196,Fremont-Winema National Forests,42.59,-121.36,,6.0,2010.0,0.749,2.444,60.096,1.12,699.63,2455.2,0.092,4800.0,-0.574,(Nutt.) J.W. Thomson,Wolf lichen,intermediate,letcol,Letharia columbiana
Platismatia glauca,plagla,MBS630,Mt Baker-Snoqualmie National Forest,48.523,-121.389,,6.0,2000.0,1.273,3.872,147.41,0.523,1088.0,2857.5,0.058,400.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Bryoria fremontii,bryfre,NCL-3,Deschutes National Forest,43.738,-121.2,,6.0,1994.0,1.1,17.5,60.0,1.39,769.0,3148.0,0.11,7897.0,,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
Letharia vulpina,letvul,1286240-N,Okanogan-Wenatchee National Forest,48.873,-120.348,Pasayten Wilderness,6.0,2012.0,0.32,2.38,383.33,0.695,705.07,2771.3,0.06,7163.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,claste,,,,,,89.0,1993.0,0.8,2.4,20.0,,190.0,664.0,0.045,,,(Opiz) Brodo,Reindeer lichen,,,
,cetcuc,,,,,,6.0,2002.0,0.757,1.27,256.845,0.24,1033.204,3059.449,0.025,,,(Bellardi) Karnefelt & Thell,Ruffle lichen,,cetcuc,Cetraria cucullata
,bcr482,,,,,,6.0,2009.0,,,,,,,0.205,,,,,,,
Lobaria oregana,lobore,1108148,Willamette National Forest,44.52,-122.13,,6.0,1995.0,0.4,6.7,276.8,2.35,1804.0,7644.0,0.115,2400.0,-0.687,(Tuck.) Muell. Arg.,Lungwort,most sensitive,lobore,Lobaria oregana
,letcol,1144176,Mt. Hood National Forest,45.4,-121.63,,6.0,1995.0,0.8,1.3,108.3,0.35,502.0,1643.0,0.042,5300.0,-0.678,(Nutt.) J.W. Thomson,Wolf lichen,intermediate,letcol,Letharia columbiana
Alectoria sarmentosa,alesar,1164176,Gifford Pinchot National Forest,45.89,-121.62,,6.0,2005.0,0.793,2.788,59.486,0.672,451.65,2178.2,0.116,2500.0,-0.268,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,flacap,BrownsRun5,George Washington and Jefferson National Forest,38.628,-78.621,,89.0,1995.0,,,,1.63,,,0.17,2716.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
,hypphy,SaganagaB,Superior National Forest,48.222,-90.88,Boundary Waters Canoe Area Wilderness,89.0,1992.0,1.4,4.6,128.2,,532.0,2224.0,0.084,1400.0,,(L.) Nyl.,Tube lichen,most tolerant,,
Platismatia glauca,plagla,KLGO_TL1,Klondike Goldrush National Historic Park,59.451,-135.313,,10.0,2008.0,0.948,3.449,363.54,0.631,1446.8,3017.7,0.074,110.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Hypogymnia inactiva,hypina,ARM160,Columbia River Gorge National Scenic Area,45.612,-121.999,,6.0,2004.0,1.844,7.008,42.324,1.68,922.77,3224.9,0.153,200.0,0.509,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Bryoria fremontii,bryfre,2019146,Fremont-Winema National Forests,42.32,-122.2,,6.0,2007.0,0.28,1.717,135.59,,990.32,3377.9,,5100.0,-0.175,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
Alectoria sarmentosa,alesar,1082156,Willamette National Forest,43.87,-122.0,Three Sisters Wilderness,6.0,1997.0,0.82,4.54,241.6,0.171,315.9,1275.0,0.028,5600.0,-0.235,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,TNF213B,Tongass N.F.,59.417,-139.013,Russell Fjord Wilderness,10.0,2005.0,4.204,8.992,74.977,0.53,745.56,2203.6,0.048,46.0,-0.42,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Letharia vulpina,letvul,1032172,Winema National Forest,42.64,-121.76,,6.0,1999.0,0.78,8.98,103.88,0.62,489.04,2221.6,0.05,4400.0,-0.453,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Letharia vulpina,letvul,1076180,Deschutes National Forest,43.72,-121.6,,6.0,1995.0,0.7,1.8,50.6,0.71,562.0,2097.0,0.066,5000.0,-0.536,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,xanele,UintaF17,Uinta-Wasatch-Cache National Forest,40.043,-111.156,,14.0,2003.0,4.97,5.39,160.0,2.49,1261.0,9280.0,0.1,8500.0,,(Link) Th. Fr.,Elegant orange,,xanele,Xanthoria elegans
Alectoria sarmentosa,alesar,1096164,Willamette National Forest,44.22,-121.86,Three Sisters Wilderness,6.0,1996.0,0.34,0.86,302.0,0.32,577.0,1671.0,0.03,6000.0,-0.411,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,clasub,MattsCkA,George Washington and Jefferson National Forest,37.594,-79.394,James River Face Wilderness,89.0,1987.0,,,,,,,0.05,1026.0,,,,,,
Platismatia glauca,plagla,1132148,Mt. Hood National Forest,45.11,-122.12,,6.0,1995.0,1.3,2.9,704.7,0.4,450.0,1762.0,0.071,4100.0,0.032,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,orchard3.66,,,,,,6.0,2004.0,,,,3.61,,,0.334,,,,,,,
Hypogymnia inactiva,hypina,Alsea318,Siuslaw N.F.,44.391,-123.567,,6.0,2000.0,1.126,4.114,244.53,,1192.5,3472.7,,500.0,,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Hypogymnia enteromorpha,hypent,TNF511,Tongass N.F.,58.079,-134.63,,10.0,2005.0,2.282,49.332,242.09,0.73,1099.7,3761.1,0.269,274.0,-0.978,(Ach.) Nyl.,Tube lichen,intermediate,hypent,Hypogymnia enteromorpha
Alectoria sarmentosa,alesar,1178172,Gifford Pinchot National Forest,46.23,-121.68,,6.0,2005.0,0.302,0.776,224.6,0.34,833.21,2301.9,0.025,4600.0,-0.235,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,bryoria,1044188,Winema National Forest,42.93,-121.48,,6.0,1999.0,1.565,2.171,36.084,1.31,1276.4,3150.9,0.065,4600.0,-0.694,Brodo & D. Hawksw.,Horsehair lichen,,,
Hypogymnia enteromorpha,hypent,KLGO_CHE,Klondike Goldrush National Historic Park,59.512,-135.344,,10.0,2009.0,1.289,4.592,283.83,,1412.8,2962.9,,119.0,,(Ach.) Nyl.,Tube lichen,intermediate,hypent,Hypogymnia enteromorpha
Alectoria sarmentosa,alesar,1062156,Deschutes National Forest,43.38,-122.01,,6.0,1997.0,0.64,4.62,129.3,0.336,311.5,1251.0,0.03,6100.0,-0.604,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,apple1515,,,,,,10.0,2004.0,,,,,,,0.207,,,,,,,
Platismatia glauca,plagla,1132148,Mt. Hood National Forest,45.11,-122.12,,6.0,1995.0,1.3,2.9,704.7,0.4,450.0,1762.0,0.071,4100.0,-0.335,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,FIA027,Columbia River Gorge National Scenic Area,45.708,-121.869,,6.0,2000.0,1.78,4.482,53.595,,949.48,3222.0,,732.0,0.554,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,alesarwil,,,,,,6.0,2003.0,,,,0.42,,,0.05,,,,,,,
,flacap,Skidmore98,George Washington and Jefferson National Forest,38.509,-79.21,,89.0,1995.0,,,,1.2,,,0.13,4245.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Letharia vulpina,letvul,30_BTPL_2011,,45.352,-110.165,,14.0,2011.0,,,,1.42,,,0.106,8473.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Lobaria oregana,lobore,TNF037,Tongass N.F.,57.212,-133.499,,10.0,1989.0,0.6,1.03,219.0,,1976.0,4821.0,0.091,15.0,-0.763,(Tuck.) Muell. Arg.,Lungwort,most sensitive,lobore,Lobaria oregana
Platismatia glauca,plagla,1056148,Umpqua National Forest,43.23,-122.15,,6.0,1997.0,1.26,6.32,163.6,0.427,1029.0,1842.0,0.049,4900.0,0.156,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,rlv,,,,,,6.0,2008.0,0.632,5.018,52.987,,2292.1,10535.0,,,,,,,,
Alectoria sarmentosa,alesar,NC-4D,Deschutes National Forest,43.734,-121.277,,6.0,1996.0,0.48,1.38,115.9,0.58,230.0,1142.0,0.058,6520.0,,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Bryoria fremontii,bryfre,1180184,Gifford Pinchot National Forest,46.28,-121.47,Mount Adams Wilderness,6.0,2005.0,0.361,4.157,320.26,0.805,1287.1,3715.3,0.091,5300.0,-0.716,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
Hypogymnia imshaugii,hypims,CurlewL,BLM Public Domain Land,48.72,-118.648,,6.0,2003.0,3.417,8.361,86.083,1.67,1288.9,3280.7,0.15,2860.0,0.668,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
,cetcet,NC4,Mt Baker-Snoqualmie National Forest,48.54,-121.445,,6.0,2006.0,,,,1.1,,,0.081,,0.137,(Duby) Culb. & C. Culb.,Curly shield,intermediate,cetcet,Cetrelia cetrarioides
Platismatia glauca,plagla,MBS617,Mt Baker-Snoqualmie National Forest,48.542,-121.409,,6.0,2000.0,1.326,2.973,87.095,0.422,961.03,2670.8,0.066,450.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,flacap,Skidmore93,George Washington and Jefferson National Forest,38.514,-79.17,,89.0,1995.0,,,,1.6,,,0.24,3862.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Platismatia glauca,plagla,7MHPipoC,Columbia River Gorge National Scenic Area,45.637,-121.297,,6.0,2006.0,,,,,,,0.196,1200.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,MTHW13,Mt. Hood National Forest,45.328,-121.858,Mount Hood Wilderness,6.0,1993.0,0.5,0.9,111.0,0.34,372.0,1715.0,0.039,3400.0,,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,blank,,,,,,6.0,2011.0,,,,-0.001,,,-0.003,,,,,,,
Platismatia glauca,plagla,Spoke10,Spokane County,47.729,-117.508,,6.0,2003.0,3.294,3.852,48.365,,499.58,1810.5,,1700.0,0.54,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1132144,Mt. Hood National Forest,45.11,-122.19,,6.0,1996.0,1.24,3.88,346.5,0.5,549.0,1772.0,0.069,4200.0,-0.292,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,flacap,GunterRidgeC,George Washington and Jefferson National Forest,37.595,-79.485,James River Face Wilderness,89.0,1995.0,,,,1.5,,,0.14,1440.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
,evepru,CRG45B,Columbia River Gorge National Scenic Area,45.714,-121.365,,6.0,1998.0,1.32,4.26,31.28,0.773,1362.0,3612.0,0.104,300.0,,(L.) Ach.,Antler lichen,most tolerant,evepru,Evernia prunastri
Platismatia glauca,plagla,HermanCkG,Columbia River Gorge National Scenic Area,45.692,-121.808,,6.0,2008.0,1.115,4.262,35.284,0.918,1047.3,3434.9,0.078,720.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Letharia vulpina,letvul,NCL-1B,Deschutes National Forest,43.712,-121.275,,6.0,1995.0,0.5,4.1,157.1,0.42,797.0,2124.0,0.048,6350.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Alectoria sarmentosa,alesar,1168160,Gifford Pinchot National Forest,45.99,-121.9,,6.0,2005.0,0.28,2.582,193.76,0.461,521.38,2041.0,0.054,2800.0,-0.463,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,1074176,Deschutes National Forest,43.67,-121.67,,6.0,2005.0,,,,,,,0.06,4800.0,-0.498,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,1084144,Willamette National Forest,43.92,-122.21,,6.0,2005.0,0.687,2.23,139.3,0.338,571.14,1917.8,0.046,4800.0,-0.516,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,1052108,Umpqua National Forest,43.14,-122.82,,6.0,1999.0,0.48,2.98,214.72,0.281,699.36,1935.44,0.243,3800.0,-0.311,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Sphaerophorus globosus,sphglo,1104044,Siuslaw National Forest,44.42,-123.92,,6.0,1995.0,0.6,8.0,32.5,0.45,826.0,1803.0,0.053,1600.0,0.328,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
Platismatia glauca,plagla,HR32,Beluga,61.137,-151.119,,10.0,2009.0,,,,0.613,,,0.066,,-0.306,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,claran,CHUG20,Chugach N.F.,60.958,-147.4,,10.0,1993.0,1.74,9.61,51.34,,358.03,380.59,0.07,30.0,,(L.) Nyl.,Reindeer lichen,sensitive,,
Alectoria sarmentosa,alesar,TNF509,Tongass N.F.,55.88,-133.876,Warren Island Wilderness,10.0,2005.0,0.28,0.684,15.651,0.316,171.67,957.32,0.028,15.0,-1.002,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,WallowaR,Wallowa-Whitman National Forest,45.261,-117.219,Eagle Cap Wilderness,6.0,2001.0,3.01,2.598,80.404,0.421,693.44,1801.4,0.047,4840.0,0.517,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1170168,Gifford Pinchot National Forest,46.04,-121.75,Indian Heaven Wilderness,6.0,1997.0,1,27.8,253.2,0.269,864.7,1647.0,0.053,4200.0,-0.187,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Letharia vulpina,letvul,1058168,Deschutes National Forest,43.28,-121.81,,6.0,1994.0,0.6,7.0,88.1,0.61,492.0,2022.0,0.063,5200.0,-0.558,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Alectoria sarmentosa,alesar,TNF031A,Tongass N.F.,56.708,-132.131,Stikine-LeConte Wilderness,10.0,1989.0,,,,,,,0.031,9.0,-0.53,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,parsul,TrapLakeB,Superior National Forest,48.016,-90.368,,89.0,1992.0,1.2,6.1,96.7,,1491.0,3315.0,0.102,1900.0,,Taylor,Shield lichen,most tolerant,,
Hypogymnia inactiva,hypina,HJA219,Willamette National Forest,44.21,-122.206,,6.0,1999.0,1.68,45.18,319.44,0.467,894.1,2538.6,0.058,3700.0,,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
,letcol,1066208,Deschutes National Forest,43.47,-121.13,,6.0,1996.0,1,2.24,19.96,0.86,820.0,1905.0,0.068,4700.0,0.374,(Nutt.) J.W. Thomson,Wolf lichen,intermediate,letcol,Letharia columbiana
Alectoria sarmentosa,alesar,1066148,Willamette National Forest,43.48,-122.15,Diamond Peak Wilderness,6.0,2005.0,0.28,1.608,161.57,0.468,489.94,1950.3,0.106,6000.0,-0.578,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Hypogymnia inactiva,hypina,MR1,Mount Rainier National Park,46.74,-121.815,Mount Rainier Wilderness,6.0,2006.0,,,,0.663,,,0.051,2600.0,-0.597,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Alectoria sarmentosa,alesar,MTHW50,Mt. Hood National Forest,45.316,-121.791,Mount Hood Wilderness,6.0,1993.0,,,,,,,0.046,3000.0,,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,usnhir,SanRio05,San Juan National Forest,37.19,-107.311,,14.0,1993.0,,7.84,49.3,,702.0,3810.0,0.141,7900.0,,(L.) F.H. Wigg.,Beard lichen,,usnhir,Usnea hirta
Letharia vulpina,letvul,1070228,Deschutes National Forest,43.56,-120.79,,6.0,2005.0,0.9,2.151,48.087,0.609,522.27,2379.7,0.071,5500.0,-0.754,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,lobpul,CRG71B,Columbia River Gorge National Scenic Area,45.702,-121.913,,6.0,1998.0,1.88,6.18,57.36,2.33,3285.4,8032.8,0.171,460.0,,(L.) Hoffm.,Lungwort,intermediate,lobpul,Lobaria pulmonaria
Hypogymnia inactiva,hypina,CRG541,Mt. Hood National Forest,45.533,-122.065,,6.0,2009.0,0.968,4.493,542.33,0.808,875.85,2858.0,0.061,,-1.002,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Lobaria oregana,lobore,1134152,Mt. Hood National Forest,45.16,-122.05,Roaring River Wilderness,6.0,1995.0,0.9,5.7,231.1,1.63,1812.0,6294.0,0.149,3600.0,-0.53,(Tuck.) Muell. Arg.,Lungwort,most sensitive,lobore,Lobaria oregana
,evepru,VA1,Roseburg,43.223,-123.363,,6.0,2000.0,1.1,3.78,85.74,0.675,860.04,2379.8,0.114,449.0,1.005,(L.) Ach.,Antler lichen,most tolerant,evepru,Evernia prunastri
,xanele,ElyRD04,Humboldt-Toiyabe National Forest,39.247,-114.108,Mount Moriah Wilderness,14.0,2009.0,8.13,12.76,101.9,1.38,3540.0,9000.0,0.234,,,(Link) Th. Fr.,Elegant orange,,xanele,Xanthoria elegans
Platismatia glauca,plagla,1184180,Gifford Pinchot National Forest,46.38,-121.53,,6.0,1994.0,,,,,,,0.062,3300.0,-0.468,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Letharia vulpina,letvul,1028148,Fremont-Winema National Forests,42.54,-122.16,,6.0,2000.0,0.28,1.03,769.85,,569.03,2029.7,,6000.0,-0.393,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Hypogymnia inactiva,hypina,Pack407,Pack Experimental Forest,46.864,-122.245,,6.0,2000.0,1.482,4.39,98.937,0.863,1070.2,3465.6,0.123,1100.0,,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
,edta,,,,,,6.0,2006.0,,,,9.434,,,,,,,,,,
,xancum,SanRio06,San Juan National Forest,37.388,-107.092,,14.0,1993.0,3.77,8.0,189.0,,954.0,4010.0,0.062,8700.0,,(Gyelnik) Hale,Questionable rockfrog,sensitive,xancum,Xanthoparmelia cumberlandia
,apple1515,,,,,,10.0,2004.0,,,,2.27,,,0.211,,,,,,,
,evepru,ARM162,Columbia River Gorge National Scenic Area,45.682,-121.843,,6.0,1994.0,2.1,4.3,72.1,0.78,809.0,2533.0,0.081,360.0,0.666,(L.) Ach.,Antler lichen,most tolerant,evepru,Evernia prunastri
,xancum,Kirk1/4,Wallowa-Whitman National Forest,45.566,-116.494,,6.0,2010.0,3.335,16.586,57.652,1.53,1443.6,3320.7,0.098,1325.0,2.586,(Gyelnik) Hale,Questionable rockfrog,sensitive,xancum,Xanthoparmelia cumberlandia
,isomyo,1140048,Siuslaw National Forest,45.3,-123.86,,6.0,1997.0,2.36,8.64,302.2,1.14,1453.0,5195.0,0.139,700.0,-0.128,,,,isomyo,Isothecium myosuroides
Platismatia glauca,plagla,1182176,Gifford Pinchot National Forest,46.33,-121.61,,6.0,2004.0,0.876,3.348,323.38,0.405,947.62,1644.7,0.039,3300.0,-0.277,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,flacap,JRFWA3B,George Washington and Jefferson National Forest,37.596,-79.402,James River Face Wilderness,89.0,1995.0,,,,1.6,,,0.15,1200.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
,alesarwil,,,,,,6.0,2006.0,,,,0.495,,,0.031,,,,,,,
Alectoria sarmentosa,alesar,1104168JG,Deschutes National Forest,44.41,-121.79,,6.0,2005.0,,,,0.876,,,,4300.0,-0.22,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Alectoria sarmentosa,alesar,1200156,Gifford Pinchot National Forest,46.78,-121.95,,6.0,1995.0,0.3,1.2,728.1,,389.0,1602.0,,4300.0,-0.325,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,1064120,Umpqua National Forest,43.43,-122.62,,6.0,2007.0,1.103,2.313,233.44,0.505,791.27,2327.8,0.054,2700.0,-0.568,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,1088152,Willamette National Forest,44.02,-122.07,Three Sisters Wilderness,6.0,2005.0,0.311,1.618,206.75,0.416,605.58,2359.4,0.108,4500.0,-0.377,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
